,continent,year,TMAX,TMIN,PRCP,NOBS
0,asia,1970,20.381369863,12.6071232877,2.04328767123,365
1,asia,1971,20.5632876712,12.8860273973,2.27123287671,365
2,asia,1972,20.5398907104,12.9587431694,2.24398907104,366
3,asia,1973,20.9495890411,13.4975342466,3.09643835616,365
4,asia,1974,20.0246575342,12.5602739726,2.74767123288,365
5,asia,1975,20.3761643836,13.1895890411,2.21150684932,365
6,asia,1976,19.5005464481,12.4169398907,2.42540983607,366
7,asia,1977,20.4030136986,13.0254794521,2.42547945205,365
8,asia,1978,20.7931506849,13.0890410959,2.51095890411,365
9,asia,1979,20.5638356164,13.2295890411,1.97863013699,365
10,asia,1980,20.2756830601,13.0161202186,2.42240437158,366
11,asia,1981,19.9416438356,13.0293150685,2.66273972603,365
12,asia,1982,19.7484931507,12.9687671233,2.24465753425,365
13,asia,1983,20.1424657534,12.9504109589,2.06054794521,365
14,asia,1984,19.518852459,12.5797814208,2.72568306011,366
15,asia,1985,19.8263013699,12.8583561644,2.49808219178,365
16,asia,1986,20.1750684932,12.5147945205,2.47123287671,365
17,asia,1987,21.1597260274,13.0936986301,1.97479452055,365
18,asia,1988,19.7969945355,12.6644808743,2.93633879781,366
19,asia,1989,19.6093150685,13.015890411,2.6498630137,365
20,asia,1990,20.7536986301,13.4115068493,3.08109589041,365
21,asia,1991,20.1079452055,13.4931506849,1.62712328767,365
22,asia,1992,19.8887978142,12.7819672131,2.37568306011,366
23,asia,1993,20.2339726027,13.0369863014,1.96301369863,365
24,asia,1994,20.6706849315,13.7553424658,2.59068493151,365
25,asia,1995,20.5449315068,13.3698630137,2.47808219178,365
26,asia,1996,19.9079234973,12.9592896175,1.94262295082,366
27,asia,1997,20.8183561644,13.7476712329,2.14575342466,365
28,asia,1998,21.557260274,14.424109589,2.48109589041,365
29,asia,1999,20.8476712329,13.9663013699,2.15452054795,365
30,asia,2000,20.8008196721,13.5035519126,2.14016393443,366
31,asia,2001,21.4704109589,14.301369863,2.26356164384,365
32,asia,2002,21.5397260274,14.4221917808,2.08931506849,365
33,asia,2003,21.0778082192,14.4671232877,2.03506849315,365
34,central_america,1970,29.604109589,23.7232876712,4.61753424658,365
35,central_america,1971,30.3175342466,23.8471232877,2.47945205479,365
36,central_america,1972,30.3650273224,24.1366120219,2.62213114754,366
37,central_america,1973,30.4632876712,24.1115068493,3.10328767123,365
38,central_america,1974,30.1745205479,23.9408219178,2.90383561644,365
39,central_america,1975,29.7693150685,23.8035616438,3.5695890411,365
40,central_america,1976,29.8844262295,23.6262295082,3.27650273224,366
41,central_america,1977,29.9969863014,23.321369863,3.67726027397,365
42,central_america,1978,30.9063013699,23.777260274,3.47315068493,365
43,central_america,1979,30.362739726,23.898630137,5.19095890411,365
44,central_america,1980,31.5084699454,24.3765027322,2.49644808743,366
