station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP
GMW00035032,1563313.17,1528707.61,3760545.08,50613,30.887581649,30.2038529627,74.2999837986
FRE00104945,881524.59,1161210.91,2010668.54,28488,30.9437163016,40.761405153,70.5794910138
KSW00043263,9332.52,6426.15,37458.46,300,31.1084,21.4205,124.861533333
HRE00105203,1250115.86,1241741.75,3269785.18,40114,31.1640788752,30.9553210849,81.5123193897
JAW00043313,220514.95,136887.13,1479304.92,7029,31.3721653151,19.4746237018,210.457379428
JAW00043309,137350.76,77069.32,1048204.22,4373,31.4088177453,17.623901212,239.699112737
USC00292710,1316538.39779,6528341.06395,2840136.52267,41864,31.4479838953,155.9416459,67.8419769413
KSW00043218,180124.85,300954.01,1651190.28,5725,31.4628558952,52.5683860262,288.417516157
USC00293305,1321429.55033,3731175.39019,2891987.07647,41859,31.568588603,89.1367541075,69.088776045
GMW00035010,220052.72,221624.81,530671.01,6939,31.7124542441,31.9390128261,76.4765830811
AU000016402,1326069.24,1349320.17,3440905.29,41727,31.7796448343,32.3368603063,82.4623215184
CHM00056096,671899.92,359298.19,1737215.83,21111,31.8270058263,17.0194775236,82.2896039979
JAW00043317,77600.05,47577.76,772115.95,2438,31.8293888433,19.5150779327,316.700553733
GRE00105242,509952.57,599204.8,1119611.81,16021,31.8302584108,37.4012109107,69.8840153548
AUW00034165,66384.85,99058.24,222782.72,2085,31.8392565947,47.5099472422,106.85022542
JAW00043322,21758.14,13358.3,206151.23,682,31.903431085,19.5869501466,302.274530792
JAW00043312,108010.13,65334.62,796186.86,3376,31.9935219194,19.3526718009,235.837340047
FRE00104951,782111.29,946842.2,1913244.29,24169,32.3601013695,39.1758947412,79.161086102
USC00067969,63103.78,82402.26,378581.94,1948,32.394137577,42.3009548255,194.343911704
JAW00043302,104421.26,63527.64,745436.74,3208,32.5502680798,19.8028802993,232.368061097
JAW00043307,228813.45,146700.06,1536275.13,7026,32.5666737831,20.8795986336,218.655725875
JAW00043401,101473.03,74527.2,459598.77,3103,32.701588785,24.0177892362,148.114331292
USC00426170,1391620.29074,4979923.14548,2943249.11649,42241,32.9447761828,117.89311677,69.6775435357
USC00291063,1362871.5725,3946388.335,2831567.58986,41364,32.948253856,95.4063517793,68.4548783933
CHM00054909,166560.75,150783.96,646595.31,5050,32.9823267327,29.858209901,128.038675248
USC00281106,1401440.54129,1503509.19901,4668880.89632,42304,33.1278494065,35.5405918827,110.364998495
JAW00043310,232884.56,144130.55,1711402.52,7025,33.1508270463,20.5168042705,243.616017082
USC00299342,1372272.70252,6782705.689,2870848.35794,41302,33.2253329746,164.222209312,69.5087007395
CHM00054916,701873.38,721956.19,2893043.02,21121,33.2310676578,34.1819132617,136.974718053
CHM00054527,666898.96,753857.0,2324484.47,20025,33.3033188514,37.6457927591,116.079124594
TU000017240,974080.68,1214052.47,2768021.26,29153,33.4127081261,41.6441693822,94.9480760128
USW00053169,69315.4,263822.01,94238.88,2073,33.4372407139,127.265803184,45.4601447178
CHM00057633,706677.62,352563.63,3579527.12,21108,33.4791368202,16.7028439454,169.581538753
USC00294662,1417701.0818,3774672.72822,3075063.75053,42335,33.4876835196,89.1619872026,72.6364414913
HU000012942,1322416.54,1078625.36,2977665.07,39382,33.5792123305,27.3887908181,75.6097981311
KSW00043201,119075.13,135986.64,879676.81,3543,33.6085605419,38.3817781541,248.285862264
USC00065905,44700.44,87583.35,214055.91,1329,33.6346425884,65.9016930023,161.065395034
TU000017062,924181.72,555875.81,2694207.0,27442,33.6776371985,20.2563883828,98.1782304497
USW00053003,711437.614167,2424979.08972,1662150.78222,21114,33.6950655568,114.851714015,78.7226855272
CHM00052889,712161.83,1498095.91,1666957.35,21121,33.7181871124,70.9292131054,78.9241678898
EZE00100082,2839005.41,2112437.29,3877266.83,84126,33.7470628581,25.1103973801,46.0888052445
JAW00043320,80885.35,47350.49,582602.09,2396,33.7584933222,19.7623080134,243.156131052
USC00023586,1292634.74618,5397080.45965,2853874.88895,38170,33.865201629,141.395872666,74.7674846462
CHM00053772,717122.78,1680797.35,1954038.61,21121,33.9530694569,79.5794398939,92.5163870082
AU000005901,1904160.43,1313430.21,4151518.59,56053,33.9707139671,23.4319342408,74.0641640947
USC00425807,1436496.25066,2731615.60292,3017552.23144,42243,34.0055453131,64.6643373558,71.433189675
CHM00057237,709373.0,310809.79,3967792.68,20756,34.1767681634,14.9744550973,191.163648102
USC00459342,1299938.46998,2271480.87496,2922158.16419,37922,34.2792698166,59.8987625906,77.0570688305
