,continent,year,TMAX,TMIN,PRCP,NOBS
0,europa,1900,11.84,6.04301369863,1.88684931507,365
1,europa,1901,11.4684931507,5.38356164384,1.97205479452,365
2,europa,1902,10.4243835616,5.04136986301,1.85452054795,365
3,europa,1903,12.0704109589,6.56575342466,2.33561643836,365
4,europa,1904,12.1754098361,5.77213114754,1.65382513661,366
5,europa,1905,12.1315068493,5.18493150685,1.80246575342,365
6,europa,1906,12.6690410959,6.27232876712,1.98082191781,365
7,europa,1907,11.8254794521,5.58794520548,1.47534246575,365
8,europa,1908,11.8674863388,5.56530054645,1.58524590164,366
9,europa,1909,11.3298630137,5.27780821918,1.8997260274,365
10,europa,1910,12.6819178082,6.65561643836,2.18794520548,365
11,europa,1911,13.5673972603,6.85698630137,1.65561643836,365
12,europa,1912,11.7051912568,5.8043715847,2.23825136612,366
13,europa,1913,12.8980821918,6.72520547945,1.61123287671,365
14,europa,1914,12.8230136986,7.12219178082,2.50356164384,365
15,europa,1915,11.4408219178,5.66849315068,2.39506849315,365
16,europa,1916,12.043442623,6.22295081967,2.92431693989,366
17,europa,1917,11.7846575342,5.38,1.78520547945,365
18,europa,1918,12.6334246575,6.19479452055,2.73232876712,365
19,europa,1919,11.3060273973,4.99561643836,1.76904109589,365
20,europa,1920,12.5431693989,6.15546448087,1.93278688525,366
21,europa,1921,13.2432876712,6.4095890411,1.91671232877,365
22,europa,1922,10.8597260274,4.83835616438,1.83479452055,365
23,europa,1923,11.344109589,5.48931506849,2.1704109589,365
24,europa,1924,11.6360655738,5.18743169399,2.1193989071,366
25,europa,1925,12.9,5.74821917808,2.41671232877,365
26,europa,1926,12.6093150685,6.31205479452,2.50931506849,365
27,europa,1927,12.1109589041,5.43616438356,2.63232876712,365
28,europa,1928,12.6344262295,5.34344262295,2.37267759563,366
29,europa,1929,11.6879452055,4.46547945205,1.50493150685,365
30,europa,1930,12.8410958904,6.27808219178,2.03945205479,365
31,europa,1931,11.7421917808,5.35945205479,2.41589041096,365
32,europa,1932,12.950273224,5.96174863388,1.76120218579,366
33,europa,1933,12.5323287671,5.46054794521,1.57397260274,365
34,europa,1934,14.4512328767,6.52246575342,1.39726027397,365
35,europa,1935,12.7421917808,4.75178082192,2.02630136986,365
36,europa,1936,12.4142076503,5.0262295082,1.93852459016,366
37,europa,1937,12.335890411,5.09232876712,1.92109589041,365
38,europa,1938,13.3452054795,4.63589041096,1.53890410959,365
39,europa,1939,12.8460273973,4.85287671233,2.21863013699,365
40,europa,1940,10.906557377,2.59207650273,1.98333333333,366
41,europa,1941,11.4668493151,3.35561643836,2.03068493151,365
42,europa,1942,11.542739726,3.25643835616,1.78301369863,365
43,europa,1943,13.6761643836,4.9402739726,1.7597260274,365
44,europa,1944,13.0680327869,4.82868852459,2.02786885246,366
45,europa,1945,13.2654794521,5.60739726027,2.26109589041,365
46,europa,1946,12.4073972603,4.88904109589,1.97753424658,365
47,europa,1947,12.5723287671,3.64876712329,1.74301369863,365
48,europa,1948,13.2819672131,5.38770491803,2.1150273224,366
49,europa,1949,13.5375342466,5.44493150685,2.03534246575,365
50,europa,1950,12.4594520548,5.04273972603,2.3495890411,365
51,europa,1951,12.821369863,5.04520547945,2.30164383562,365
52,europa,1952,11.831420765,4.06612021858,1.7456284153,366
53,europa,1953,13.584109589,5.37808219178,1.64219178082,365
54,europa,1954,11.935890411,4.29835616438,2.43726027397,365
55,europa,1955,12.0397260274,3.87205479452,1.77561643836,365
56,europa,1956,11.2754098361,3.49726775956,1.80792349727,366
57,europa,1957,12.6906849315,5.11917808219,2.02849315068,365
58,europa,1958,11.9136986301,4.82931506849,2.22273972603,365
59,europa,1959,13.8761643836,4.68356164384,1.07479452055,365
60,europa,1960,12.3215846995,5.09644808743,2.48278688525,366
61,europa,1961,13.0638356164,5.21671232877,2.42109589041,365
62,europa,1962,11.164109589,3.90219178082,1.97753424658,365
63,europa,1963,11.4810958904,3.44739726027,1.90657534247,365
64,europa,1964,12.0543715847,4.4043715847,1.63333333333,366
65,europa,1965,11.5931506849,4.1797260274,2.41315068493,365
66,europa,1966,12.1690410959,5.13205479452,2.36684931507,365
67,europa,1967,13.1128767123,5.73589041096,2.23095890411,365
68,europa,1968,12.4765027322,5.17759562842,2.07486338798,366
69,europa,1969,11.9235616438,4.46438356164,1.90739726027,365
