station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP,SIMILARIDAD
BRM00083423,13.6,23.33,1195.69,2,2.60768096208,3.41540627159,24.4508691052,3.01154361683
CUW00012857,314.11,133.03,660.34,22,3.77858799987,2.45902789366,5.47863619393,3.11880794676
HRE00105210,305742.01,186819.43,3307866.07,22218,3.70958286617,2.8997365328,12.2017318762,3.30465969948
IT000016090,186072.1,289823.84,1232403.35,21147,2.96630802637,3.70205332838,7.63399818649,3.33418067738
US1SCAK0032,44.89,9.61,1756.61,2,4.73761543395,2.19203102168,29.6362109589,3.46482322781
FRE00104921,389565.01,232336.54,2233325.75,20455,4.36405514025,3.37022593894,10.4490376671,3.8671405396
ITE00100550,1416750.26,772487.5,4341845.83,71187,4.46114464759,3.2941652747,7.80974499965,3.87765496115
CA003030450,23.1,116.99,744.57,4,2.40312296814,5.40809578318,13.6434050002,3.90560937566
HRE00105217,392862.3,337315.49,2029991.62,22218,4.2050164222,3.89641907981,9.55860777659,4.05071775101
FRE00104888,405551.13,325360.91,1532331.94,20821,4.4133870448,3.95304624463,8.5787820614,4.18321664472
IT000016239,541246.27,279323.73,1847496.49,21121,5.06221072884,3.63660957725,9.35264764101,4.34941015305
CHM00056187,48189.78,25086.71,186124.16,1763,5.22818944116,3.77220858017,10.2748435834,4.50019901067
KSW00043213,53755.69,37452.6,438871.53,2074,5.09105565059,4.24948802861,14.5466948398,4.6702718396
KSW00043208,36870.91,26049.92,325162.74,1420,5.09562847718,4.28310799356,15.1323443349,4.68936823537
CHM00057127,625469.22,333690.75,2558384.71,21121,5.44183955354,3.97479601509,11.0059031597,4.70831778431
SHM00061901,26991.81,13825.63,60209.34,896,5.48860528244,3.92815358979,8.19743399529,4.70837943612
FR000007650,896515.6,551176.23,2549728.16,31304,5.35154286062,4.19609510069,9.0249960976,4.77381898065
JAW00043318,67274.49,40539.23,355956.38,2314,5.39192111499,4.18558407969,12.4027135487,4.78875259734
HRE00105196,577187.7,444422.01,2062070.33,21854,5.13917095099,4.509540693,9.7137353586,4.824355822
KSW00043217,38908.76,21500.75,314183.95,1263,5.55037108316,4.12596110351,15.7721290707,4.83816609333
CHM00057237,709373.0,310809.79,3967792.68,20756,5.84608998934,3.86968410821,13.826194274,4.85788704877
JAW00043324,523625.21,337613.64,4461825.25,17939,5.40270380722,4.33821305791,15.7709248943,4.87045843257
CHM00056096,671899.92,359298.19,1737215.83,21111,5.64154285868,4.12546694612,9.07136174992,4.8835049024
JAW00043311,123021.2,81837.4,916908.81,4247,5.38206389092,4.38969939698,14.6933878441,4.88588164395
JAW00043314,91814.47,57099.25,722327.03,3073,5.4660586295,4.31056225536,15.331535511,4.88831044243
JAW00043309,137350.76,77069.32,1048204.22,4373,5.60435703228,4.19808304015,15.4822192446,4.90122003621
FRE00104897,483579.95,560501.79,1576685.67,21551,4.73696776702,5.09981930367,8.55340127006,4.91839353535
CHM00057633,706677.62,352563.63,3579527.12,21108,5.78611586647,4.0869112965,13.0223476667,4.93651358148
KSW00043238,48697.86,34008.64,253038.3,1670,5.40003659336,4.51269931303,12.3093436104,4.95636795319
GRE00105232,608761.49,274896.21,1236200.67,17167,5.95492617947,4.00163223236,8.48588777067,4.97827920592
JAW00043321,73303.3,49215.72,557713.36,2440,5.48108894888,4.49114429173,15.1185663732,4.98611662031
ASN00009516,231598.44,106466.65,453663.179357,6528,5.95631616067,4.03846870398,8.33636445509,4.99739243233
JAW00043313,220514.95,136887.13,1479304.92,7029,5.60108608353,4.4130061978,14.5071492523,5.00704614066
JAW00043312,108010.13,65334.62,796186.86,3376,5.65628163367,4.39916717129,15.3569964527,5.02772440248
JAW00043317,77600.05,47577.76,772115.95,2438,5.64175405732,4.41758734297,17.7960825389,5.02967070014
JAW00043322,21758.14,13358.3,206151.23,682,5.64831223332,4.42571464812,17.3860441387,5.03701344072
RSM00037470,779128.01,550860.08,2065258.3,25921,5.4824986426,4.60993470813,8.92609104083,5.04621667536
KSW00043219,166637.59,143147.78,1035243.71,6026,5.25862164069,4.87391268819,13.1071037331,5.06626716444
JAW00043302,104421.26,63527.64,745436.74,3208,5.70528422428,4.45004273005,15.243623621,5.07766347716
KSW00043263,9332.52,6426.15,37458.46,300,5.57749047512,4.62822860282,11.1741457541,5.10285953897
FRE00104907,1173811.84,568315.45,2677872.49,32196,6.03807194673,4.20139749363,9.11998213313,5.11973472018
CHM00058251,629223.25,448042.79,3480409.5,20390,5.5551241318,4.68760634668,13.0649141353,5.12136523924
JAW00043320,80885.35,47350.49,582602.09,2396,5.81020596212,4.44548175267,15.5934643698,5.12784385739
JAW00043307,228813.45,146700.06,1536275.13,7026,5.70672180705,4.56941994499,14.7870120672,5.13807087602
FR000007747,1350924.17,758736.88,4410379.53,39126,5.87601317204,4.40365078824,10.6170840777,5.13983198014
JAW00043310,232884.56,144130.55,1711402.52,7025,5.75767548984,4.52954791016,15.6082035187,5.1436117
KSW00043223,61583.18,49930.76,474947.81,2097,5.41915833525,4.8796073077,15.0495574613,5.14938282147
TU000017062,924181.72,555875.81,2694207.0,27442,5.80324367905,4.50070976433,9.90849284451,5.15197672169
FRE00104910,1242468.74,422546.35,3272024.28,29235,6.51915318913,3.80176815191,10.5792945689,5.16046067052
USW00013775,11609.37,5523.07,44071.31,310,6.11960624919,4.22094241121,11.9233181677,5.1702743302
JAW00043319,256324.73,149559.96,1303845.46,7426,5.87513407311,4.4877659355,13.2506013157,5.18145000431
FRE00104955,664510.51,328961.04,1302348.23,17899,6.09307526892,4.28704309251,8.53000288482,5.19005918071
CHM00057713,783253.1,395700.57,2846414.5,21121,6.08967089934,4.32838715602,11.6089203982,5.20902902768
CHM00057707,870292.55,339871.8,2443249.93,21121,6.41911852354,4.01144024726,10.7554035294,5.2152793854
USW00022602,1152.07,210.65,2660.08,21,7.40678582048,3.16716788013,11.2547979187,5.28697685031
UY000086562,153902.18,87232.75,698256.84,4224,6.03615566312,4.54441335139,12.857177647,5.29028450726
CHM00058040,554547.04,507435.99,3409893.36,18929,5.4125928579,5.17757975659,13.4216701984,5.29508630725
US1CASL0001,468.89,40.97,1417.53,7,8.1843928128,2.41926789398,14.2304000546,5.30183035339
GM000002698,1354967.32,1353487.05,3819831.86,48149,5.30482149297,5.30192300463,8.90693919403,5.3033722488
GRE00105244,533820.75,220325.99,958436.17,12778,6.4634781301,4.15242142537,8.66064337228,5.30794977773
JAW00043401,101473.03,74527.2,459598.77,3103,5.71853029939,4.90079475557,12.1702231406,5.30966252748
GMW00034046,162272.28,184931.28,485309.28,6100,5.1577139427,5.50605151435,8.91957949461,5.33188272853
AU000005901,1904160.43,1313430.21,4151518.59,56053,5.82844009724,4.84065431949,8.60605392121,5.33454720837
US1RIPR0013,405.2,37.59,2394.8,6,8.21786671426,2.50299820216,19.9783215845,5.36043245821
KSW00043212,53170.43,54430.38,251879.59,1856,5.35236966132,5.41541442201,11.6495058261,5.38389204166
AR000875850,209494.16,146184.48,722344.09,6080,5.86994687504,4.90341717581,10.8998437489,5.38668202542
FRE00104966,526513.52,733174.69,1576685.67,21551,4.94277737828,5.8327050931,8.55340127006,5.38774123569
FRW00034048,149322.35,179440.43,449862.55,5624,5.15275806907,5.64855672725,8.94370084756,5.40065739816
USW00013756,18388.82,8918.44,58198.46,453,6.37129669954,4.43706045922,11.3346116666,5.40417857938
JAW00043306,154513.43,97429.33,1344527.52,4255,6.02605837621,4.7851447074,17.7760419181,5.4056015418
EZE00100082,2839005.41,2112437.29,3877266.83,84126,5.80922222488,5.01102757727,6.78887363592,5.41012490108
GRE00105240,395926.61,277419.11,874693.67,11384,5.89739072154,4.93651821145,8.76557779075,5.4169544665
CHM00058362,195832.08,186412.27,1018842.66,6511,5.48426044045,5.35073447218,12.5092050886,5.41749745632
GMW00034068,629876.34,772085.39,1841781.16,23678,5.15768885947,5.71031622396,8.81955158974,5.43400254172
CHM00057036,760703.53,504880.71,2000454.24,21121,6.00137103001,4.88919265522,9.73211142089,5.44528184262
KSW00043214,5272.49,5772.07,17466.03,186,5.3241638245,5.57069424835,9.69037600389,5.44742903642
USW00093907,10437.2,6386.29,54624.93,279,6.11631580254,4.78434199399,13.992436513,5.45032889826
CHM00058238,751195.39,515286.75,3292256.51,21121,5.96374710499,4.93932097754,12.4850301157,5.45153404126
IT000016320,842279.0,476982.16,2083468.8,21437,6.26824528182,4.71703462321,9.85851488862,5.49263995251
KSW00043247,11259.28,21631.92,105161.67,529,4.61346758695,6.39469297923,14.0994087476,5.50408028309
