,year,tmax,max_tmax,std_tmax,min_tmax,std_tmin,min_tmin,tmin,max_tmin,continent,period
0,1900,11.55,34.2,8.617652294,-10.4,6.583136148,-14.5,4.2,21.0,Europa,1900-2015
1,1901,11.9,33.1,9.452089702,-13.5,7.903590253,-23.8,4.3,20.2,Europa,1900-2015
2,1902,10.55,33.7,8.119003503,-10.6,6.743543352,-17.1,3.1,18.5,Europa,1900-2015
3,1903,12.2,32.4,8.173450783,-11.0,6.421219083,-17.6,4.45,18.2,Europa,1900-2015
4,1904,12.0,35.9,8.692686662,-7.2,6.287935384,-14.0,4.1,19.4,Europa,1900-2015
5,1905,10.8,34.8,8.922668998,-16.4,7.0777754,-23.0,3.2,22.8,Europa,1900-2015
6,1906,13.2,32.9,8.826442448,-10.3,7.168195699,-19.2,4.8,21.0,Europa,1900-2015
7,1907,12.4,32.6,8.638691902,-14.2,6.809787402,-26.3,4.3,18.5,Europa,1900-2015
8,1908,11.1,34.7,8.998456569,-13.3,7.210879671,-19.0,3.5,18.9,Europa,1900-2015
9,1909,12.35,32.0,8.461892519,-10.8,7.02787129,-17.4,4.1,17.0,Europa,1900-2015
10,1910,12.0,32.0,7.798460229,-5.9,6.073845551,-13.0,4.15,20.5,Europa,1900-2015
11,1911,12.65,36.9,9.204324913,-10.9,6.705090081,-19.2,4.85,21.5,Europa,1900-2015
12,1912,11.2,32.2,7.878829664,-12.2,6.402354232,-19.6,4.2,19.0,Europa,1900-2015
13,1913,12.45,30.6,7.524115774,-6.7,5.892776033,-13.8,5.5,18.5,Europa,1900-2015
14,1914,11.7,31.7,8.233844631,-12.4,6.485268564,-14.9,5.2,23.0,Europa,1900-2015
15,1915,11.0,35.0,8.574545541,-9.1,6.518585389,-18.0,4.2,19.5,Europa,1900-2015
16,1916,12.5,29.5,7.410554716,-6.1,5.656499806,-9.3,4.6,17.2,Europa,1900-2015
17,1917,10.5,34.9,10.23899298,-13.4,8.127894079,-23.5,3.5,19.7,Europa,1900-2015
18,1918,12.5,33.1,7.632419987,-9.2,5.978515456,-15.3,5.3,20.1,Europa,1900-2015
19,1919,10.5,34.1,8.780258254,-11.5,6.667230414,-17.3,3.2,19.0,Europa,1900-2015
20,1920,13.1,33.2,7.847661333,-9.3,6.175987565,-12.7,5.2,21.2,Europa,1900-2015
21,1921,13.9,37.3,8.835238594,-8.0,6.684036658,-17.6,4.9,20.4,Europa,1900-2015
22,1922,10.1,36.8,8.757635632,-13.9,7.161173068,-22.9,3.3,20.2,Europa,1900-2015
23,1923,12.5,35.3,8.463950032,-13.8,6.541492565,-27.3,4.5,22.5,Europa,1900-2015
24,1924,11.8,32.4,8.781586984,-8.1,7.282474983,-19.1,4.85,17.5,Europa,1900-2015
25,1925,12.3,34.6,8.520818949,-12.1,6.670882344,-21.7,4.6,19.5,Europa,1900-2015
26,1926,12.85,32.0,8.011650823,-14.5,6.264494996,-19.5,5.2,20.4,Europa,1900-2015
27,1927,12.0,32.3,8.378470812,-14.7,6.605814147,-20.0,4.6,18.6,Europa,1900-2015
28,1928,12.0,35.1,8.252647326,-7.9,6.156848118,-13.0,4.2,19.8,Europa,1900-2015
29,1929,11.8,34.7,10.23132415,-22.6,8.759838619,-29.1,4.55,21.1,Europa,1900-2015
30,1930,12.4,33.7,8.150987679,-7.6,6.178886804,-14.9,5.1,18.8,Europa,1900-2015
31,1931,11.4,32.4,8.947000441,-11.1,7.20755498,-17.8,3.65,19.1,Europa,1900-2015
32,1932,11.5,37.2,8.978445726,-14.5,7.376443604,-19.1,4.3,20.7,Europa,1900-2015
33,1933,12.45,33.7,9.41032886,-13.9,7.554042179,-19.5,4.1,20.0,Europa,1900-2015
34,1934,13.75,33.2,8.641381629,-11.2,6.111896884,-16.5,5.3,18.6,Europa,1900-2015
35,1935,12.25,34.5,9.023893431,-11.4,6.78745312,-15.5,4.2,20.9,Europa,1900-2015
36,1936,11.2,34.7,7.972902598,-7.1,6.093219244,-16.2,4.0,18.0,Europa,1900-2015
37,1937,12.35,35.0,9.046780741,-10.7,6.85710757,-14.4,5.2,19.1,Europa,1900-2015
38,1938,12.7,33.9,8.65834977,-14.5,6.904805347,-19.0,4.9,19.5,Europa,1900-2015
39,1939,11.35,31.6,8.617962153,-11.7,6.777870517,-22.7,4.4,18.3,Europa,1900-2015
40,1940,12.0,30.2,10.09946224,-18.0,8.989347133,-29.1,4.3,16.4,Europa,1900-2015
41,1941,10.7,33.3,9.211878344,-12.7,7.519571448,-21.8,3.0,21.5,Europa,1900-2015
42,1942,13.1,32.8,10.15280623,-16.0,8.463395986,-25.5,4.7,19.5,Europa,1900-2015
43,1943,14.4,37.4,8.612339213,-9.2,6.447123366,-16.6,4.5,22.1,Europa,1900-2015
44,1944,11.7,34.9,9.081697306,-9.3,6.848141483,-14.2,4.3,20.5,Europa,1900-2015
45,1945,13.6,33.0,8.935683465,-11.3,6.933575422,-16.4,5.1,20.0,Europa,1900-2015
46,1946,12.9,36.0,9.136824874,-14.8,7.109706911,-17.3,4.75,20.4,Europa,1900-2015
47,1947,13.8,37.5,11.10316338,-15.3,8.678826821,-22.6,5.0,21.7,Europa,1900-2015
48,1948,13.5,33.9,8.162614819,-11.5,6.36527039,-17.6,5.2,18.7,Europa,1900-2015
49,1949,14.6,35.0,8.657274002,-9.4,6.390982457,-13.4,5.4,20.1,Europa,1900-2015
50,1950,13.0,33.6,9.090790516,-10.3,7.086292768,-18.1,5.1,21.2,Europa,1900-2015
51,1951,12.6,33.4,7.968126022,-5.0,6.089640022,-17.4,4.5,18.9,Europa,1900-2015
52,1952,11.75,37.3,9.11306646,-7.6,6.722065595,-16.6,3.9,21.8,Europa,1900-2015
53,1953,14.0,32.5,8.819099414,-9.3,6.715042736,-19.1,5.0,18.5,Europa,1900-2015
54,1954,12.1,34.1,8.738729412,-14.7,7.332919184,-20.0,4.1,18.4,Europa,1900-2015
55,1955,11.5,31.6,8.669134308,-8.9,7.296803407,-19.7,3.75,18.5,Europa,1900-2015
56,1956,11.6,30.9,9.348771523,-23.4,8.128571192,-30.1,3.7,17.7,Europa,1900-2015
57,1957,12.7,38.0,7.972962593,-10.7,6.17642914,-16.7,4.6,23.4,Europa,1900-2015
58,1958,11.7,32.2,8.535678297,-6.8,6.874767795,-15.3,4.3,19.1,Europa,1900-2015
59,1959,14.3,38.4,8.789053316,-7.7,6.485564454,-17.3,4.3,20.1,Europa,1900-2015
60,1960,12.5,33.3,8.209028538,-12.3,6.35728458,-23.3,4.8,19.3,Europa,1900-2015
61,1961,14.1,34.0,8.264487892,-12.0,6.630751819,-19.5,5.7,18.9,Europa,1900-2015
62,1962,11.4,34.0,8.811391233,-15.5,6.942012811,-22.4,3.3,19.7,Europa,1900-2015
63,1963,13.0,35.9,10.0852467,-15.3,8.817293581,-25.0,4.8,20.0,Europa,1900-2015
64,1964,11.5,35.2,9.520077819,-10.6,7.213279128,-22.6,4.3,20.1,Europa,1900-2015
65,1965,11.85,32.8,8.227353893,-8.4,6.447155475,-19.2,3.8,19.9,Europa,1900-2015
66,1966,13.0,34.3,8.819546139,-12.9,6.793468771,-21.6,5.35,20.2,Europa,1900-2015
67,1967,13.0,34.3,8.469752008,-12.2,6.583889294,-21.5,5.1,19.0,Europa,1900-2015
68,1968,13.4,33.1,9.10156217,-13.5,7.110752106,-27.9,4.9,19.0,Europa,1900-2015
69,1969,12.5,34.4,9.912424374,-16.4,7.813163866,-25.0,4.7,21.9,Europa,1900-2015
70,1970,11.45,31.9,9.242761166,-12.4,7.235810523,-19.0,4.4,18.9,Europa,1900-2015
71,1971,12.9,34.4,8.971982823,-13.8,7.201992557,-22.2,4.8,20.1,Europa,1900-2015
72,1972,12.0,33.2,8.161651611,-10.8,6.38419451,-16.0,4.05,21.0,Europa,1900-2015
73,1973,11.0,32.9,9.022821088,-12.3,6.755822542,-19.9,3.6,19.3,Europa,1900-2015
74,1974,12.0,35.5,7.295140666,-4.2,5.196025584,-11.7,4.4,20.6,Europa,1900-2015
75,1975,11.15,34.2,8.639023549,-7.6,6.381266789,-13.6,4.3,22.4,Europa,1900-2015
76,1976,12.4,36.3,9.316636995,-10.5,6.910265928,-20.2,4.4,20.0,Europa,1900-2015
77,1977,13.2,31.9,7.705988639,-6.9,5.915830474,-15.3,4.9,17.9,Europa,1900-2015
78,1978,11.7,32.6,8.150418001,-14.3,6.436786518,-19.0,4.4,18.8,Europa,1900-2015
79,1979,11.3,33.0,8.943551256,-13.6,7.119404116,-22.5,3.8,19.1,Europa,1900-2015
80,1980,11.6,32.3,8.438959115,-9.3,6.805851926,-17.2,3.8,21.7,Europa,1900-2015
81,1981,12.9,31.8,8.980336548,-9.0,7.282627107,-17.4,5.2,20.0,Europa,1900-2015
82,1982,12.85,34.1,8.995653553,-13.1,7.15653223,-26.4,4.5,19.5,Europa,1900-2015
83,1983,13.0,36.5,9.121762804,-10.6,7.270621716,-14.8,5.6,20.3,Europa,1900-2015
84,1984,12.4,35.5,7.991800021,-9.0,6.288130122,-14.0,4.4,22.5,Europa,1900-2015
85,1985,12.6,32.7,9.692303572,-17.1,8.134074955,-24.4,4.5,19.3,Europa,1900-2015
86,1986,12.45,36.2,9.229306344,-13.6,7.430713602,-19.9,4.7,19.5,Europa,1900-2015
87,1987,11.9,32.8,9.066928363,-18.6,7.853776397,-23.2,4.9,20.1,Europa,1900-2015
88,1988,12.5,32.6,8.058976038,-8.6,6.06551207,-16.8,5.4,19.5,Europa,1900-2015
89,1989,13.5,35.3,8.066550119,-4.2,6.033562819,-12.5,5.5,19.4,Europa,1900-2015
90,1990,13.8,34.1,7.741219969,-6.0,5.689798928,-11.8,5.7,19.2,Europa,1900-2015
91,1991,12.4,35.4,8.697750154,-11.2,7.01786112,-17.0,4.2,20.9,Europa,1900-2015
92,1992,12.4,38.6,8.814213268,-8.1,6.538472557,-13.9,4.4,22.6,Europa,1900-2015
93,1993,12.8,32.0,8.576911232,-12.5,6.712654234,-16.0,5.2,18.6,Europa,1900-2015
94,1994,13.0,37.5,8.526913653,-8.4,6.502674927,-14.3,5.65,24.4,Europa,1900-2015
95,1995,12.3,34.7,9.125567536,-10.9,7.000065704,-14.4,5.1,21.1,Europa,1900-2015
96,1996,11.95,33.4,9.33747109,-14.8,7.572742233,-21.6,4.4,18.8,Europa,1900-2015
97,1997,12.6,33.7,8.828096167,-12.0,7.0462406,-19.3,4.4,20.7,Europa,1900-2015
98,1998,12.9,37.7,8.459186174,-9.9,6.703902283,-19.9,5.8,21.0,Europa,1900-2015
99,1999,14.0,35.2,8.788378695,-9.7,6.551268576,-13.9,5.8,21.0,Europa,1900-2015
100,2000,13.8,36.6,8.081166524,-11.5,5.966219726,-14.5,6.4,20.8,Europa,1900-2015
101,2001,13.2,36.0,8.838591971,-14.8,6.807962998,-20.1,5.7,19.7,Europa,1900-2015
102,2002,12.9,34.2,8.441636215,-8.7,6.642675628,-23.5,5.5,22.3,Europa,1900-2015
103,2003,13.7,37.5,9.813645997,-11.0,7.666728114,-16.1,4.8,22.7,Europa,1900-2015
104,2004,13.7,32.2,8.492625227,-7.9,6.495406071,-12.2,5.4,19.1,Europa,1900-2015
105,2005,14.1,34.9,9.104485742,-10.8,7.068039218,-18.8,5.25,21.5,Europa,1900-2015
106,2006,14.4,36.9,9.505643177,-12.3,7.466190184,-18.0,6.4,20.9,Europa,1900-2015
107,2007,14.2,37.2,8.041448287,-8.9,5.937917173,-13.5,5.5,21.8,Europa,1900-2015
108,2008,12.8,34.6,8.249584719,-7.6,6.10206567,-11.0,5.2,18.4,Europa,1900-2015
109,2009,14.1,34.2,9.109021484,-11.9,7.032134419,-20.9,5.6,20.8,Europa,1900-2015
110,2010,12.8,38.2,10.04264213,-9.4,7.901790168,-21.6,4.3,21.6,Europa,1900-2015
111,2011,14.8,34.3,8.409747619,-7.3,6.411522837,-13.5,5.7,21.0,Europa,1900-2015
112,2012,13.55,36.3,9.163054101,-14.5,7.092415973,-20.7,5.1,21.9,Europa,1900-2015
113,2013,12.8,35.7,9.293046385,-8.7,6.901671054,-16.5,5.3,22.3,Europa,1900-2015
114,2014,15.0,35.5,7.870263587,-9.6,5.872741492,-13.4,6.3,20.1,Europa,1900-2015
115,2015,14.2,37.8,8.341670069,-6.5,6.098343022,-9.1,5.4,22.8,Europa,1900-2015
116,1900,21.55,41.6,6.163486805,7.7,4.798602691,1.0,12.4,26.6,Oceanía,1900-2015
117,1901,21.9,43.1,6.143204672,4.4,4.832932769,-1.1,12.7,27.1,Oceanía,1900-2015
118,1902,22.3,42.7,5.85835113,8.7,4.796480386,-1.3,12.4,30.5,Oceanía,1900-2015
119,1903,21.2,41.1,6.03395902,9.1,4.861317388,-1.6,12.6,25.3,Oceanía,1900-2015
120,1904,21.7,42.2,5.955768803,10.3,4.794062839,-0.3,12.6,25.1,Oceanía,1900-2015
121,1905,21.75,42.5,5.913126876,8.5,4.905480564,0.0,11.9,27.8,Oceanía,1900-2015
122,1906,22.2,43.1,5.75434529,8.4,4.717824218,-0.5,12.8,24.5,Oceanía,1900-2015
123,1907,22.2,40.7,5.678635343,9.2,4.757081084,-0.5,12.55,24.6,Oceanía,1900-2015
124,1908,22.2,44.2,6.25993806,7.5,5.094797685,-1.1,12.7,24.5,Oceanía,1900-2015
125,1909,21.7,40.0,6.089795872,8.1,4.72953348,0.3,12.3,25.9,Oceanía,1900-2015
126,1910,22.15,40.2,5.766511304,8.6,4.53691634,-0.1,13.1,25.2,Oceanía,1900-2015
127,1911,22.2,40.7,5.752835885,7.1,4.778293569,-1.3,12.5,24.7,Oceanía,1900-2015
128,1912,22.2,41.4,5.967226299,10.1,4.740658129,-0.7,12.8,24.8,Oceanía,1900-2015
129,1913,21.7,41.2,5.93989831,10.3,4.694128461,-0.7,12.7,26.1,Oceanía,1900-2015
130,1914,22.7,41.2,5.907959922,9.0,4.90066483,-0.3,13.3,26.7,Oceanía,1900-2015
131,1915,22.3,41.8,6.019692623,10.2,4.573756518,0.3,13.1,25.9,Oceanía,1900-2015
132,1916,21.8,40.1,5.623671139,9.7,4.680876542,-1.1,12.8,25.2,Oceanía,1900-2015
133,1917,21.3,38.9,5.440056578,7.1,4.574439381,-0.3,12.6,25.1,Oceanía,1900-2015
134,1918,22.2,41.7,5.476107019,8.3,4.620912212,-0.5,12.8,25.9,Oceanía,1900-2015
135,1919,22.6,41.4,5.634912452,8.5,4.826463275,-1.1,13.1,27.0,Oceanía,1900-2015
136,1920,21.9,41.6,5.726139729,9.5,4.662727932,1.1,12.8,26.0,Oceanía,1900-2015
137,1921,22.3,42.4,5.531755018,8.5,4.645819545,0.5,13.5,26.2,Oceanía,1900-2015
138,1922,22.0,41.3,5.85163351,8.1,4.782829421,0.1,12.6,26.3,Oceanía,1900-2015
139,1923,22.3,41.9,5.854750539,10.0,4.601681221,1.2,12.6,25.3,Oceanía,1900-2015
140,1924,21.8,41.0,5.641563739,8.6,4.624746342,0.5,12.5,26.1,Oceanía,1900-2015
141,1925,21.9,40.9,5.429167579,8.4,4.779609738,-1.5,12.55,25.6,Oceanía,1900-2015
142,1926,22.3,42.1,5.889123988,9.5,4.592325003,0.0,12.8,25.7,Oceanía,1900-2015
143,1927,22.1,40.9,5.611577359,8.8,4.821077966,-1.1,12.7,26.3,Oceanía,1900-2015
144,1928,22.4,40.0,5.53253957,9.4,4.677353051,-0.1,13.1,25.5,Oceanía,1900-2015
145,1929,21.7,41.2,5.933490508,8.4,5.029087699,-1.5,12.3,26.6,Oceanía,1900-2015
146,1930,22.0,42.2,5.459868208,10.0,4.490734351,1.0,13.25,26.9,Oceanía,1900-2015
147,1931,21.8,40.2,5.757670838,9.3,4.79895138,0.3,12.8,24.8,Oceanía,1900-2015
148,1932,21.8,42.7,5.695184191,7.7,4.873817016,0.3,12.8,25.0,Oceanía,1900-2015
149,1933,21.7,44.6,5.719268652,9.1,4.888012372,0.1,12.8,29.3,Oceanía,1900-2015
150,1934,21.8,43.4,5.556680649,6.9,4.823448791,0.1,12.8,28.3,Oceanía,1900-2015
151,1935,21.8,41.3,5.548825549,8.3,4.703134262,0.3,12.2,25.4,Oceanía,1900-2015
152,1936,22.6,40.9,5.576191352,9.7,4.793261541,0.4,12.9,24.4,Oceanía,1900-2015
153,1937,22.05,42.3,5.533706135,7.5,4.827480345,-0.3,12.9,27.0,Oceanía,1900-2015
154,1938,22.4,39.7,5.56235325,10.1,4.892578558,-1.3,12.8,26.1,Oceanía,1900-2015
155,1939,22.1,45.6,5.576319297,9.5,4.868625779,-1.1,12.7,24.6,Oceanía,1900-2015
156,1940,22.55,43.8,5.837112743,9.9,4.933424801,-0.5,12.3,28.0,Oceanía,1900-2015
157,1941,21.95,40.9,5.521909901,9.7,4.586356781,0.7,12.6,24.75,Oceanía,1900-2015
158,1942,22.3,42.35,5.615420096,10.0,4.663073895,-1.1,13.0,24.4,Oceanía,1900-2015
159,1943,21.4,41.9,5.648376066,9.0,4.955463504,-0.1,12.2,23.9,Oceanía,1900-2015
160,1944,22.3,40.2,5.998828627,8.8,4.86480667,-1.1,12.2,26.1,Oceanía,1900-2015
161,1945,22.1,42.26666667,5.697378382,8.3,4.605573714,-0.8,12.55,24.4,Oceanía,1900-2015
162,1946,22.325,40.9,5.787544044,10.2,4.85979597,0.1,11.825,24.8,Oceanía,1900-2015
163,1947,22.325,39.3,5.260740437,10.1,4.746331727,0.1,12.7,24.0,Oceanía,1900-2015
164,1948,21.9,42.15,5.565967365,7.5,4.857332582,-1.1,12.15,27.25,Oceanía,1900-2015
165,1949,21.7,40.75,5.671126052,8.7,4.916491598,0.0,12.275,24.8,Oceanía,1900-2015
166,1950,22.0,41.95,5.424455109,6.7,4.648944116,0.7,12.825,27.55,Oceanía,1900-2015
167,1951,22.05,40.55,5.543606727,7.7,4.71402319,1.1,12.0,25.55,Oceanía,1900-2015
168,1952,21.85,43.1,5.70783011,7.9,4.841011561,0.3,12.65,25.15,Oceanía,1900-2015
169,1953,22.45,42.5,5.565504494,9.0,4.715929057,0.9,12.2,23.6,Oceanía,1900-2015
170,1954,22.1,40.1,5.46299442,8.0,4.870291307,0.7,12.5,26.45,Oceanía,1900-2015
171,1955,21.95,41.15,5.705063555,9.7,5.107075226,0.4,12.5,28.35,Oceanía,1900-2015
172,1956,22.05,43.9,5.801526269,7.8,5.164421188,-0.4,11.85,25.2,Oceanía,1900-2015
173,1957,22.2,42.25,5.680228452,9.1,4.725186129,-0.7,11.9,25.0,Oceanía,1900-2015
174,1958,22.475,39.03333333,5.731318933,10.0,4.897391238,0.2,12.8,23.8,Oceanía,1900-2015
175,1959,22.1,42.8,5.266891348,10.1,4.731524464,-1.4,12.41666667,23.55,Oceanía,1900-2015
176,1960,21.8,42.7,5.715095515,8.7,4.811391695,-0.4,11.8,26.1,Oceanía,1900-2015
177,1961,22.6,43.06666667,5.54567514,10.6,4.656691384,0.8,12.65,26.5,Oceanía,1900-2015
178,1962,22.325,40.0,5.473303987,9.2,4.625429706,-0.1,12.25833333,26.2,Oceanía,1900-2015
179,1963,22.2,39.0,5.429699267,9.2,4.632820362,-1.5,13.06666667,24.0,Oceanía,1900-2015
180,1964,21.925,40.9,5.469431483,9.45,4.664032719,1.9,12.225,24.65,Oceanía,1900-2015
181,1965,22.2,41.6,5.748067782,8.9,4.635757907,0.2,12.8,23.5,Oceanía,1900-2015
182,1966,21.8,39.5,5.622442693,8.4,4.760824602,0.5,12.35,24.35,Oceanía,1900-2015
183,1967,22.25,41.0,5.576520408,9.1,4.636316714,1.2,13.175,25.7,Oceanía,1900-2015
184,1968,22.1,43.7,6.093142557,8.8,5.077931466,0.925,12.48333333,27.6,Oceanía,1900-2015
185,1969,22.55833333,42.83333333,5.829370061,8.3,4.771420433,-0.8,12.775,25.1,Oceanía,1900-2015
186,1970,22.36666667,39.4,5.663013568,6.65,4.956280032,0.4,12.1,26.425,Oceanía,1900-2015
187,1971,21.95,39.525,5.549621758,9.65,4.978876564,-0.65,12.01666667,24.0,Oceanía,1900-2015
188,1972,22.8,40.8,5.592715731,8.6,4.853165675,-0.05,12.55,25.1,Oceanía,1900-2015
189,1973,22.78333333,40.15,5.766100033,6.95,4.924078357,-0.7,13.08333333,25.15,Oceanía,1900-2015
190,1974,22.25833333,40.53333333,5.581150798,9.8,4.89358741,0.0,12.4,23.96666667,Oceanía,1900-2015
191,1975,22.7625,42.075,5.566577677,6.75,4.645614721,0.8,12.6,24.13333333,Oceanía,1900-2015
192,1976,22.71666667,41.0,5.62773225,8.55,4.906465848,-0.7,12.3875,24.3,Oceanía,1900-2015
193,1977,22.97083333,41.6,6.104644724,8.15,5.011516153,0.85,12.5625,24.13333333,Oceanía,1900-2015
194,1978,22.425,41.075,6.137129448,9.1,5.054075256,1.5,12.6375,25.6,Oceanía,1900-2015
195,1979,22.8125,41.725,5.933499271,10.5,5.074320593,0.35,12.45,25.925,Oceanía,1900-2015
196,1980,22.9,41.95,5.954167854,9.45,4.795316117,1.55,12.95,25.525,Oceanía,1900-2015
197,1981,22.65,41.75,5.872120814,9.2,4.925556488,1.45,12.75833333,25.55,Oceanía,1900-2015
198,1982,22.7,43.65,5.868530588,8.0,5.192678946,-1.65,12.4,25.5,Oceanía,1900-2015
199,1983,22.34166667,43.25,5.889871321,8.25,4.813032856,0.3,13.1,26.3,Oceanía,1900-2015
200,1984,22.17083333,42.825,5.546012637,6.35,4.723566166,-1.2,12.2875,24.6,Oceanía,1900-2015
201,1985,22.34166667,42.5,5.836087692,10.6,4.88064354,-0.2,12.8,24.7,Oceanía,1900-2015
202,1986,22.15,40.45,5.788630422,7.3,4.796500972,-0.4,12.2375,24.375,Oceanía,1900-2015
203,1987,22.75,39.65,5.743693726,9.55,4.770418323,1.25,12.71666667,24.9,Oceanía,1900-2015
204,1988,22.8,40.825,5.713332917,10.2,4.494863504,2.45,13.55,23.8,Oceanía,1900-2015
205,1989,22.35,42.125,5.776277762,9.9,4.974726947,0.05,12.95,26.225,Oceanía,1900-2015
206,1990,22.3,41.25,5.847480121,8.85,5.05496237,0.8,12.61666667,24.95,Oceanía,1900-2015
207,1991,23.05,45.075,5.893772517,9.65,4.790549689,1.6,12.775,24.95,Oceanía,1900-2015
208,1992,22.1,39.2,5.543694098,9.7,4.904582483,1.65,12.425,25.1,Oceanía,1900-2015
209,1993,22.6,40.2,5.580206962,9.1,4.593638161,1.25,12.7,25.0,Oceanía,1900-2015
210,1994,23.1,42.05,5.757306523,9.6,4.966752688,0.35,12.1125,25.45,Oceanía,1900-2015
211,1995,22.3,40.2,5.756722439,8.2,4.855832792,0.8,12.65,24.86666667,Oceanía,1900-2015
212,1996,22.46666667,42.025,5.640697826,9.0,4.684706348,0.95,12.34166667,25.6,Oceanía,1900-2015
213,1997,22.9875,43.225,5.859165597,10.15,5.091575506,-0.45,12.8,28.05,Oceanía,1900-2015
214,1998,23.0,42.525,6.068669362,8.6,5.017811861,0.85,13.23333333,26.45,Oceanía,1900-2015
215,1999,22.83333333,39.0,5.345633816,10.1,4.736206899,2.1,13.17333333,24.375,Oceanía,1900-2015
216,2000,23.25833333,40.28,5.62200496,9.8,4.973118864,1.9,12.75,24.3,Oceanía,1900-2015
217,2001,23.1125,40.46666667,5.553380672,10.2,4.973392862,1.766666667,12.28333333,24.5,Oceanía,1900-2015
218,2002,23.225,40.25,5.540509881,10.5,4.841380778,1.05,12.8,25.46666667,Oceanía,1900-2015
219,2003,23.0,44.35,5.683674977,10.3,4.832247189,0.95,12.925,25.4,Oceanía,1900-2015
220,2004,23.15833333,41.05,5.790851716,9.7,5.065982566,1.55,12.645,27.23333333,Oceanía,1900-2015
221,2005,23.0,43.35,5.523261507,9.5,4.797162673,0.55,12.85,25.13333333,Oceanía,1900-2015
222,2006,23.4425,43.92,5.731669139,9.9,5.06138373,-0.6,12.52,25.75,Oceanía,1900-2015
223,2007,23.35,43.03333333,5.733677375,9.25,4.880174704,1.525,13.2375,24.83333333,Oceanía,1900-2015
224,2008,22.6875,41.0,5.509497404,9.0,4.898181653,1.475,12.6875,26.85,Oceanía,1900-2015
225,2009,23.35,46.6,5.84442219,10.55,4.938860227,2.05,12.95833333,28.1,Oceanía,1900-2015
226,2010,23.05,43.05,5.713993398,10.05,5.260882865,0.725,13.06,26.55,Oceanía,1900-2015
227,2011,22.445,40.94,5.499938392,10.75,4.911642228,1.45,13.15,26.52,Oceanía,1900-2015
228,2012,22.85,41.65,5.562617012,10.1,4.937009196,1.175,12.9,26.925,Oceanía,1900-2015
229,2013,23.4,42.6,5.513205524,9.05,4.739348305,1.15,13.6875,26.15,Oceanía,1900-2015
230,2014,23.44166667,43.9,5.485198778,10.25,4.828686204,0.7,13.54166667,28.35,Oceanía,1900-2015
231,2015,23.41666667,43.25,5.970273262,9.3,5.173937416,-1.0,13.2375,25.75,Oceanía,1900-2015
232,1900,19.26666667,44.45,11.95293079,-31.7,10.90611752,-40.0,6.1,27.8,Norte América,1900-2015
233,1901,17.93333333,44.4,12.3363181,-28.9,10.90188688,-50.0,4.78,28.3,Norte América,1900-2015
234,1902,18.2,43.9,11.51832659,-27.05,10.45333182,-40.0,5.3,28.9,Norte América,1900-2015
235,1903,18.05,43.3,11.47748848,-27.8,10.61265328,-39.45,5.0,29.15,Norte América,1900-2015
236,1904,18.3,41.95,12.04402549,-31.7,11.02404903,-41.1,4.7,32.2,Norte América,1900-2015
237,1905,18.44,45.55,12.04255839,-29.4,11.22492706,-41.86666667,5.0,27.075,Norte América,1900-2015
238,1906,18.66666667,42.25,11.62048314,-28.3,10.53507031,-41.1,5.366666667,26.7,Norte América,1900-2015
239,1907,17.5,46.95,11.36610881,-31.7,10.31922725,-43.3,4.266666667,28.9,Norte América,1900-2015
240,1908,18.9,44.75,11.27849388,-22.2,10.20094612,-39.0,5.0,28.9,Norte América,1900-2015
241,1909,18.3,43.9,12.01131838,-33.9,10.7147519,-45.6,4.966666667,27.8,Norte América,1900-2015
242,1910,19.6,44.15,11.8374146,-26.1,10.4771315,-40.0,5.12,27.2,Norte América,1900-2015
243,1911,18.35,44.45,11.9540045,-36.7,10.73367779,-46.7,5.22,28.5,Norte América,1900-2015
244,1912,17.8,42.03333333,12.22843411,-33.3,11.39750889,-45.33333333,4.45,41.1,Norte América,1900-2015
245,1913,18.35,43.66,11.7607769,-27.8,10.68442798,-38.9,5.3,30.65,Norte América,1900-2015
246,1914,18.9,43.3,12.25408357,-28.9,11.16174617,-43.3,5.566666667,27.8,Norte América,1900-2015
247,1915,18.3,42.6,11.0264742,-26.1,9.874033054,-41.7,5.083333333,27.2,Norte América,1900-2015
248,1916,18.13333333,42.03333333,12.48135734,-36.7,11.47459636,-45.0,4.433333333,28.05,Norte América,1900-2015
249,1917,17.05,43.35,12.39132429,-34.4,11.29143098,-45.6,3.35,27.8,Norte América,1900-2015
250,1918,18.88,43.9,12.0318704,-29.4,10.94351779,-41.7,5.2,30.3,Norte América,1900-2015
251,1919,18.05,41.83333333,12.00851666,-27.8,10.88835926,-39.4,5.166666667,27.2,Norte América,1900-2015
252,1920,17.98,42.25,11.80925688,-32.2,10.55422957,-43.3,5.0,26.1,Norte América,1900-2015
253,1921,19.875,41.675,11.27324183,-28.9,10.06348012,-38.3,5.933333333,27.2,Norte América,1900-2015
254,1922,19.4,43.175,11.96104856,-27.8,10.8669881,-45.6,5.9,27.03333333,Norte América,1900-2015
255,1923,18.3,43.16666667,11.18989347,-30.6,10.4469518,-39.4,4.75,26.15,Norte América,1900-2015
256,1924,18.3,41.65,12.06422381,-36.7,10.86207634,-42.8,4.4,27.2,Norte América,1900-2015
257,1925,18.12,58.66666667,11.83110761,-27.8,10.5632025,-37.06666667,4.6,27.8,Norte América,1900-2015
