,year,tmax,max_tmax,std_tmax,min_tmax,std_tmin,min_tmin,tmin,max_tmin,continent,period
1242,1970,23.3875,44.2,7.08206417246,6.65,6.70324075797,-7.23333333333,11.6,31.56,Oceanía,1970-2015
1243,1971,23.2,44.4,6.95556846458,6.63333333333,6.63101191293,-8.43333333333,11.8,31.2,Oceanía,1970-2015
1244,1972,24.15,45.0,6.83148831215,4.43333333333,6.45554781215,-7.525,12.0666666667,31.45,Oceanía,1970-2015
1245,1973,23.95,47.2,6.9488321252,5.55,6.47836951443,-4.775,12.8,31.6,Oceanía,1970-2015
1246,1974,23.0333333333,41.95,6.60627639154,4.5,6.33072565439,-5.45,12.1775,29.0,Oceanía,1970-2015
1247,1975,23.6,44.8,6.69329891132,6.4,6.35400617097,-4.8,12.2,29.8,Oceanía,1970-2015
1248,1976,23.6,47.3,6.59208238921,6.4,6.51509462736,-7.5,11.845,29.48,Oceanía,1970-2015
1249,1977,24.1,44.0,6.99843015223,5.4,6.63353102297,-6.3,12.0,29.7,Oceanía,1970-2015
1250,1978,23.55,44.6,7.10952279135,5.0,6.43328150066,-6.1,12.1,30.0,Oceanía,1970-2015
1251,1979,24.05,47.8,7.14857831291,6.65,6.61122135269,-5.5,12.25,31.2,Oceanía,1970-2015
1252,1980,24.6,46.4,7.09485187344,6.25,6.45302857603,-5.05,12.35,30.0,Oceanía,1970-2015
